央视,#genre#
凤凰资讯,http://wqeeeee.x3322.net:4000/udp/239.93.0.118:2191
凤凰中文,http://wqeeeee.x3322.net:4000/udp/239.93.1.9:2192
凤凰资讯,http://223.86.171.240:8999/rtp/239.93.16.118:8708
凤凰中文,http://223.86.171.240:8999/rtp/239.93.16.31:8012
凤凰资讯,http://yulang132.cn:4022/rtp/239.93.0.118:2191
凤凰中文,http://yulang132.cn:4022/rtp/239.93.0.162:2192
凤凰资讯,http://prettyalan.vicp.cc:8888/udp/239.61.5.47:1025
凤凰中文,http://prettyalan.vicp.cc:8888/udp/239.61.5.48:1025

民视,rtmp://218.32.29.13/sat/tv051
台视,rtmp://218.32.29.13/sat/tv071
中视,rtmp://218.32.29.13/sat/tv091
华视,rtmp://218.32.29.13/sat/tv111
非凡新闻,rtmp://218.32.29.13/sat/tv581
纬来体育,rtmp://218.32.29.13/sat/tv721
纬来育乐,rtmp://218.32.29.13/sat/tv701
纬来日本,rtmp://218.32.29.13/sat/tv771
东森超视,rtmp://218.32.29.13/sat/tv331
MoMo综合,rtmp://218.32.29.13/sat/tv761
ELEVEN体育1,rtmp://218.32.29.13/sat/tv731
ELEVEN体育2,rtmp://218.32.29.13/sat/tv741

台视新闻,https://stream1.freetv.fun/tai-shi-xin-wen-18.m3u8
民视新闻,https://stream1.freetv.fun/min-shi-xin-wen-13.m3u8
民视,rtmp://60.248.77.68/sat/tv051
民视,rtmp://220.130.201.74/sat/tv051
民视,rtmp://59.124.75.138/sat/tv051
民视,rtmp://twcdn.top.xiptv.top/sat/tv051
大爱一台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱二台,https://pulltv1.wanfudaluye.com/live/tv2.m3u8
体育1,rtmp://220.130.201.73/sat/md011
体育2,rtmp://220.130.201.73/sat/md051
体育3,rtmp://220.130.201.73/sat/md021
体育4,rtmp://220.130.201.73/sat/md041
体育5,rtmp://220.130.201.73/sat/md031

国际,#genre#
卡塔尔·半岛新闻,https://live-hls-v3-aje.getaj.net/AJE-V3/01.m3u8#https://live-hls-aje-ak.getaj.net/AJE/01.m3u8
美国·FOX新闻,http://fox-foxnewsnow-samsungus.amagi.tv/playlist720p.m3u8
美国·彭博财经,https://liveprodusphoenixeast.akamaized.net/USPhx-HD/Channel-TX-USPhx-AWS-virginia-1/Source-USPhx-16k-1-s6lk2-BP-07-02-81ykIWnsMsg_live.m3u8
新加坡·亚洲新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
欧洲·Eurosport1,http://a16e00c6.ucomist.net/iptv/UPKY3Y8BF6KNX8/141/index.m3u8
欧洲·Eurosport2,http://a16e00c6.ucomist.net/iptv/UPKY3Y8BF6KNX8/12048/index.m3u8
加拿大·Global新闻,https://live.corusdigitaldev.com/groupd/live/49a91e7f-1023-430f-8d66-561055f3d0f7/live.isml/master.m3u8
法国·Fashion 4K,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
澳大利亚·ABC新闻,https://abc-iview-mediapackagestreams-2.akamaized.net/out/v1/6e1cc6d25ec0480ea099a5399d73bc4b/index_45.m3u8
日本·Fuji,http://asia.vthanhtivi.pw/Fuji_TV/index.m3u8
日本·24新闻,https://n24-cdn-live.ntv.co.jp/ch01/index_high.m3u8
日本·NHK World,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp-en/index_4M.m3u8
俄罗斯·BRICS中文,http://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/index.m3u8

测试,#genre#
