广电,#genre#
福建少儿,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227194/index.m3u8?servicetype=1
福建文体,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227188/index.m3u8?servicetype=1
福建新闻,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227180/index.m3u8?servicetype=1
福建旅游,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227190/index.m3u8?servicetype=1
福建电视剧,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227079/index.m3u8?servicetype=1
福建经济,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227184/index.m3u8?servicetype=1
福建教育,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227202/index.m3u8?servicetype=1
厦门1,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226814/index.m3u8?servicetype=1
厦门2,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226777/index.m3u8?servicetype=1
厦门3,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226760/index.m3u8?servicetype=1
南平1,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227066/index.m3u8?servicetype=1
南平2,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226956/index.m3u8?servicetype=1
福州综合,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227157/index.m3u8?servicetype=1
三明综合,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227173/index.m3u8?servicetype=1
莆田综合,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227161/index.m3u8?servicetype=1
宁德综合,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227196/index.m3u8?servicetype=1
平潭综合,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227218/index.m3u8?servicetype=1
泉州综合,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227165/index.m3u8?servicetype=1
漳州综合,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227169/index.m3u8?servicetype=1
龙岩综合,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227200/index.m3u8?servicetype=1
咪咕视频1,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226564/index.m3u8?servicetype=1
咪咕视频2,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8?servicetype=1
咪咕视频3,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226568/index.m3u8?servicetype=1
咪咕视频4,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226569/index.m3u8?servicetype=1
咪咕视频5,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226573/index.m3u8?servicetype=1
咪咕视频6,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226638/index.m3u8?servicetype=1
咪咕视频7,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226642/index.m3u8?servicetype=1
咪咕视频8,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226646/index.m3u8?servicetype=1
咪咕视频9,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227047/index.m3u8?servicetype=1
咪咕视频10,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227107/index.m3u8?servicetype=1
咪咕视频11,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227158/index.m3u8?servicetype=1
咪咕视频12,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227189/index.m3u8?servicetype=1
咪咕视频13,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227228/index.m3u8?servicetype=1
